#{"t_start": 1729732848.422208, "env_id": "None"}
r,l,t
-5.990231,60,40885.488287
-6.1955,59,40933.818898
-9.491317,21,40956.828283
1.6357479,71,41013.160123
1.6443644,83,41077.50996
-8.751837,50,41119.846384
-0.21673203,85,41185.524987
-5.1467247,25,41211.197251
-7.0453463,29,41239.862049
13.510616,100,41315.531307
8.828093,85,41381.215828
18.277348,100,41456.883094
-5.075243,32,41487.222137
20.662027,100,41562.903393
-1.4491425,41,41599.230901
-22.843012,100,41674.905064
18.886524,100,41750.597229
8.363489,59,41798.929866
-1.6415025,100,41874.611485
-8.1496315,32,41904.948579
-16.306602,42,41941.945979
4.41693,100,42017.622065
-9.054416,21,42040.625129
19.039734,100,42116.29435
11.912249,100,42191.988528
-1.9592695,45,42230.986667
-6.119385,41,42267.335526
0.16033936,91,42336.999189
-9.340765,31,42366.68178
-7.5952606,20,42389.011392
13.793543,100,42465.355759
-7.6925554,24,42490.354798
2.3403473,67,42544.032789
-9.256285,22,42567.708916
-6.533544,35,42600.045923
-8.665339,47,42640.381285
1.8196547,100,42716.048717
10.310801,98,42790.391061
-9.325902,21,42813.403425
-12.7934475,100,42889.066403
1.1419809,100,42964.753578
19.24312,100,43040.442863
-9.691125,15,43059.44132
28.788635,100,43135.121928
1.4465518,100,43210.790235
-5.353184,47,43251.128552
-8.149111,25,43276.792402
19.911633,100,43352.463785
3.0709114,100,43428.133334
1.9018278,100,43503.822378
-7.8178253,24,43528.811475
14.937344,88,43596.488925
-5.350716,23,43620.824373
-8.239118,100,43696.512439
-4.6439905,60,43745.503691
-9.080837,37,43779.177296
-5.796801,28,43806.866214
-1.2068424,100,43882.540721
4.29058,100,43958.217488
2.2829096,100,44033.900273
2.2058659,100,44109.575841
-13.083526,100,44185.248896
26.663229,100,44260.928818
-2.5770898,68,44315.275921
14.009298,100,44390.946622
-5.644052,55,44436.616301
-13.735164,58,44484.296966
-0.8073865,100,44559.976277
10.313763,100,44635.658439
-23.443817,46,44675.332617
-4.978714,32,44705.666915
-8.278102,35,44738.012854
0.072491646,78,44799.004938
9.216803,79,44860.68883
-5.7984185,100,44936.371101
-6.729722,44,44974.698149
-8.6673155,30,45003.706399
-5.511737,29,45032.049443
-6.160116,30,45061.050122
8.795666,100,45136.734387
